"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","-","eengezinswoning","Verbouwen of hergebruik","Q2","619","701","701","644","0","175.778,06","0","183.926,41","205.308,27","0,00","0,00"
"2022","Provincie","meergezinswoning","Nieuwbouw","Q4","115","190","190","1.931","0","185.557,02","0","347.472,20","95.361,52","0,00","0,00"
"2022","-","eengezinswoning","Nieuwbouw","Q1","273","866","866","855","0","190.242,99","0","237.880,15","101.063,81","0,00","0,00"
"2022","-","eengezinswoning","Nieuwbouw","Q4","389","1.050","1.050","1.040","0","202.279,13","0","232.922,81","113.153,36","0,00","0,00"
"2022","-","meergezinswoning","Nieuwbouw","Q1","126","178","178","1.842","0","203.068,64","0","201.489,94","78.990,24","0,00","0,00"
"2022","-","eengezinswoning","Nieuwbouw","Q3","344","1.087","1.087","1.076","0","205.416,03","0","230.675,17","106.823,84","0,00","0,00"
"2022","-","eengezinswoning","Verbouwen of hergebruik","Q1","573","611","612","555","0","232.111,22","0","190.268,73","118.383,83","0,00","0,00"
"2022","-","meergezinswoning","Verbouwen of hergebruik","Q3","201","209","210","1.362","0","241.999,91","0","215.429,52","73.564,27","0,00","0,00"
"2022","Provincie","meergezinswoning","Nieuwbouw","Q2","81","101","101","1.455","0","244.870,86","0","157.809,59","60.650,35","0,00","0,00"
"2022","-","meergezinswoning","Nieuwbouw","Q2","162","232","232","2.246","0","274.182,57","0","428.184,72","107.286,94","0,00","0,00"
"2022","-","meergezinswoning","Nieuwbouw","Q3","186","265","265","3.110","0","321.833,68","0","386.400,89","213.904,86","0,00","0,00"
"2022","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q2","544","584","586","2.839","0","328.120,83","0","389.489,39","157.062,03","0,00","0,00"
